0,col_1,col_2,col_3,col_4,col_5,col_6
2016-02-01 00:00:00,45,62.64406779661017,-13.067796610169502,3.8004449642841416,0.0,
2016-02-01 00:05:00,48,59.64406779661017,-12.000000000000007,3.7738761499320392,-46.126172429215956,71.64406779661017
2016-02-01 00:10:00,42,54.66101694915254,-7.983050847457626,3.722892045575636,-19.410924879285236,9.477508184853207
2016-02-01 00:15:00,60,50.89830508474577,-8.745762711864401,3.6596971070540913,-18.59920935661939,42.89618562927244
2016-02-01 00:20:00,42,47.38983050847458,-7.2711864406779645,3.6016917400075465,-0.3346254219118913,37.555837491755696
2016-02-01 00:25:00,39,45.66101694915254,-5.237288135593225,3.550847302244651,-6.114523098664103,52.499001899955175
2016-02-01 00:30:00,30,42.813559322033896,-4.576271186440677,3.4966830645446785,-7.837565557567236,42.44404944437894
2016-02-01 00:35:00,48,40.57627118644068,-5.0847457627118615,3.441032262292723,-11.04036115606609,38.76220515599715
2016-02-01 00:40:00,36,39.61016949152543,-3.2033898305084705,3.3901190916890025,-4.6363719860872425,32.86935678476479
2016-02-01 00:45:00,24,39.2542372881356,-1.3220338983050866,3.3375000346183343,-5.348521253820759,36.04542770299272
2016-02-01 00:50:00,24,36.20338983050848,-3.406779661016948,3.3022183575713013,-9.148582124644491,34.53888519203063
2016-02-01 00:55:00,36,34.6271186440678,-4.627118644067791,3.2610099271744537,-10.553906412345137,30.998934096012608
2016-02-01 01:00:00,30,35.440677966101696,-0.7627118644067821,3.2100467501540044,-6.963668445080719,26.67559469268966
2016-02-01 01:05:00,21,31.627118644067803,-3.000000000000004,3.1648858558907436,-6.367162750960977,27.99495717754521
2016-02-01 01:10:00,36,31.01694915254237,-4.423728813559323,3.130298854089498,-8.605733197282186,29.353428008186302
2016-02-01 01:15:00,24,29.79661016949153,-1.8305084745762696,3.079647666408888,-4.72639486637541,23.730624607745746
2016-02-01 01:20:00,24,32.69491525423729,1.6779661016949134,3.0547816068235183,-5.713949383260102,26.304533446744863
2016-02-01 01:25:00,30,29.59322033898305,-0.20338983050847406,3.0180372275263623,-5.879014375803926,24.36698741316997
