,Real_data,History_average,Smoothed_deterministic,Residuals,Volatility_pred,History_diff
2016-02-01 00:00:00,45,75.71186440677967,0.0,-30.711864406779668,0.0,-4.067796610169495
2016-02-01 00:05:00,48,71.64406779661017,-46.12617242921595,22.482104632605775,0.0,-9.000000000000007
2016-02-01 00:10:00,42,62.644067796610166,-19.410924879285236,-1.2331429173249298,0.0,-3.0
2016-02-01 00:15:00,60,59.644067796610166,-18.59920935661939,18.955141560009224,0.0,-4.983050847457626
2016-02-01 00:20:00,42,54.66101694915254,-0.33462542191189126,-12.326391527240649,0.0,-3.762711864406775
2016-02-01 00:25:00,39,50.898305084745765,-6.114523098664103,-5.783781986081662,0.0,-3.5084745762711904
2016-02-01 00:30:00,30,47.389830508474574,-7.837565557567235,-9.55226495090734,0.0,-1.7288135593220346
2016-02-01 00:35:00,48,45.66101694915254,-11.040361156066092,13.379344206913553,0.0,-2.8474576271186436
2016-02-01 00:40:00,36,42.813559322033896,-4.636371986087242,-2.1771873359466545,0.0,-2.237288135593218
2016-02-01 00:45:00,24,40.57627118644068,-5.348521253820759,-11.227749932619918,0.0,-0.9661016949152526
2016-02-01 00:50:00,24,39.610169491525426,-9.148582124644493,-6.4615873668809325,0.0,-0.355932203389834
2016-02-01 00:55:00,36,39.25423728813559,-10.553906412345135,7.299669124209544,0.0,-3.050847457627114
2016-02-01 01:00:00,30,36.20338983050848,-6.963668445080719,0.7602786145722416,0.0,-1.5762711864406782
2016-02-01 01:05:00,21,34.6271186440678,-6.367162750960976,-7.259955893106824,0.0,0.8135593220338961
2016-02-01 01:10:00,36,35.440677966101696,-8.605733197282186,9.16505523118049,0.0,-3.8135593220338997
2016-02-01 01:15:00,24,31.627118644067796,-4.72639486637541,-2.900723777692386,0.0,-0.6101694915254221
2016-02-01 01:20:00,24,31.016949152542374,-5.713949383260102,-1.3029997692822715,0.0,-1.2203389830508478
2016-02-01 01:25:00,30,29.796610169491526,-5.879014375803926,6.0824042063124,0.0,2.898305084745761
2016-02-01 01:30:00,21,32.69491525423729,-3.4339531252658193,-8.260962128971467,0.0,-3.1016949152542352
2016-02-01 01:35:00,27,29.593220338983052,-6.329071789318023,3.7358514503349713,0.0,-2.389830508474578
2016-02-01 01:40:00,18,27.203389830508474,-4.5036620838134125,-4.6997277466950615,0.0,1.474576271186443
2016-02-01 01:45:00,24,28.677966101694917,-5.927917595017084,1.2499514933221674,0.0,2.440677966101692
2016-02-01 01:50:00,21,31.11864406779661,-5.021681974327217,-5.096962093469392,0.0,-1.0169491525423702
2016-02-01 01:55:00,21,30.10169491525424,-6.476987594442555,-2.624707320811684,0.0,-0.35593220338983045
2016-02-01 02:00:00,27,29.74576271186441,-6.816797788972669,4.07103507710826,0.0,1.8813559322033875
2016-02-01 02:05:00,24,31.627118644067796,-4.8310130850988235,-2.7961055589689723,0.0,0.4067796610169516
2016-02-01 02:10:00,30,32.03389830508475,-5.585399174080467,3.5515008689957197,0.0,-4.220338983050848
2016-02-01 02:15:00,27,27.8135593220339,-3.9842116107503136,3.170652288716414,0.0,-3.305084745762713
2016-02-01 02:20:00,12,24.508474576271187,-2.784895389208675,-9.723579187062512,0.0,-0.9152542372881349
2016-02-01 02:25:00,12,23.593220338983052,-6.174695091800304,-5.418525247182748,0.0,-1.0677966101694913
2016-02-01 02:30:00,18,22.52542372881356,-7.426491361798144,2.9010676329845833,0.0,3.7627118644067785
2016-02-01 02:35:00,15,26.28813559322034,-5.6611120960141195,-5.62702349720622,0.0,-1.2711864406779654
2016-02-01 02:40:00,18,25.016949152542374,-7.215950675949394,0.19900152340701993,0.0,1.1694915254237266
2016-02-01 02:45:00,18,26.1864406779661,-6.4963081461856085,-1.6901325317804918,0.0,-2.033898305084744
2016-02-01 02:50:00,27,24.152542372881356,-6.599561664469608,9.447019291588251,0.0,-0.6101694915254257
2016-02-01 02:55:00,18,23.54237288135593,-2.8602464132686247,-2.682126468087306,0.0,2.6440677966101696
2016-02-01 03:00:00,18,26.1864406779661,-3.945241265216602,-4.2411994127494985,0.0,-0.8135593220338961
2016-02-01 03:05:00,15,25.372881355932204,-5.263992743101732,-5.108888612830472,0.0,2.5932203389830484
2016-02-01 03:10:00,21,27.966101694915253,-6.6131337126815595,-0.3529679822336931,0.0,-2.1355932203389827
2016-02-01 03:15:00,21,25.83050847457627,-6.109286560768435,1.2787780861921654,0.0,2.186440677966104
2016-02-01 03:20:00,24,28.016949152542374,-5.184518939762464,1.1675697872200903,0.0,-1.0677966101694913
2016-02-01 03:25:00,21,26.949152542372882,-4.476105574051887,-1.473046968320995,0.0,3.2542372881355917
2016-02-01 03:30:00,15,30.203389830508474,-4.780611601861499,-10.422778228646976,0.0,3.4067796610169516
2016-02-01 03:35:00,27,33.610169491525426,-8.079268238977885,1.4690987474524597,0.0,2.0847457627118615
2016-02-01 03:40:00,24,35.69491525423729,-6.706842983961385,-4.988072270275902,0.0,1.525423728813557
2016-02-01 03:45:00,33,37.220338983050844,-7.892485903721344,3.6721469206704995,0.0,-2.338983050847453
2016-02-01 03:50:00,42,34.88135593220339,-5.916067904801139,13.034711972597748,0.0,-2.4406779661016955
2016-02-01 03:55:00,18,32.440677966101696,-1.1080198914084587,-13.332658074693237,0.0,4.118644067796609
2016-02-01 04:00:00,39,36.559322033898304,-6.169840708026282,8.610518674127977,0.0,4.118644067796609
2016-02-01 04:05:00,39,40.67796610169491,-2.6329662170845274,0.9550001153896139,0.0,2.694915254237287
